Student,Semester,AverageScore
Adrian Simmons,3,60.0
Adrian Woods,4,55.8
Alicia Campbell,4,87.6
Amanda Blevins,3,49.2
Amy Smith,4,52.6
Amy Smith,7,67.4
Andrew Jennings,3,56.2
Andrew Jennings,6,68.8
Andrew Jennings,7,70.0
Angela Lyons,4,53.0
Angela Lyons,5,62.4
Angela Perez,2,61.8
Anthony Bowman,4,62.8
Anthony Campbell,1,72.4
Anthony Campbell,4,76.6
April Adams,1,47.2
April Gross,3,65.4
April Gross,4,73.4
Ashley Ayers,7,66.8
Ashley Pena,2,57.0
Ashley Thomas,4,67.8
Austin Robinson,1,48.2
Austin Wallace,4,53.6
Austin Wallace,7,72.0
Barbara West,2,52.4
Barbara West,3,60.4
Barry Fuentes,1,56.8
Barry Fuentes,6,63.6
Billy Todd,7,66.8
Bradley Sullivan,1,50.4
Bradley Sullivan,8,56.4
Brandon Chavez,6,57.0
Brandon Chavez,7,64.4
Brandon Contreras,1,51.2
Brandon Contreras,4,57.6
Brandon Contreras,5,61.0
Brandon Contreras,8,63.8
Brandy Wilson,7,50.0
Brian Phillips,1,46.0
Bryan Edwards,5,64.6
Caleb Marsh,4,60.4
Carl Wheeler,7,58.4
Carl Wheeler,8,69.4
Cassandra Taylor,1,50.0
Cassandra Taylor,5,62.6
Cassandra Taylor,6,75.6
Cathy Archer,2,59.2
Cathy Archer,4,71.8
Chad Delgado,2,64.0
Chad Delgado,3,64.2
Charles Cruz,1,54.6
Charles Cruz,3,74.2
Charles Hayden,3,44.8
Charles Hayden,5,59.2
Charles Hayden,8,60.8
Chris Gibson,3,54.4
Christina Valentine,8,57.2
Christine Lloyd,2,48.2
Christine Lloyd,7,49.2
Christopher Jackson,2,54.6
Christopher Jackson,3,61.0
Christopher Jackson,7,71.8
Christopher Lutz,3,69.2
Christopher Smith,2,58.0
Christopher Smith,3,58.2
Christopher Smith,5,75.0
Clarence Bailey,7,62.8
Cody Conway,2,49.6
Cody Conway,7,61.6
Courtney Jenkins,6,58.6
Courtney Peters,3,71.8
Crystal Lee,3,56.2
Crystal Lee,4,63.8
Crystal Lee,7,65.2
Cynthia Dunlap,5,57.0
Daniel Patterson,6,79.2
Danielle Reynolds,2,54.8
Danielle Reynolds,4,62.8
David Collins,3,56.8
David King,3,58.2
David King,6,58.4
